,Date,CNY,INR,USD
360,2022-06-08,342256.34178905224,306431.8529862177,318798.7412778763
361,2022-06-09,344526.03471295076,306891.2710566618,319003.9677110409
362,2022-06-10,347630.17356475315,307350.6891271059,319414.4205773701
363,2022-06-13,350734.3124165555,308269.5252679941,320892.05089615524
364,2022-06-14,352202.9372496663,310107.1975497705,320809.9603228893
365,2022-06-15,351001.3351134847,309647.77947932645,320112.1904501297
366,2022-06-16,345894.52603471297,308269.5252679941,319742.78287043347
367,2022-06-17,349465.9546061416,307810.10719755,320071.14516349684
368,2022-06-21,348598.13084112154,307350.6891271059,319865.9187303323
369,2022-06-22,347797.06275033386,307350.6891271059,320686.8244629906
370,2022-06-23,348564.75300400547,307810.10719755,320933.09618278814
371,2022-06-24,347763.68491321773,307810.10719755,320727.8697496236
372,2022-06-27,346929.23898531386,307350.6891271059,321179.3679025857
373,2022-06-28,348831.77570093476,307350.6891271059,321959.22834861116
374,2022-06-29,350834.44592790405,308269.5252679941,324545.081406485
375,2022-06-30,349432.57676902553,307810.10719755,323847.3115337255
376,2022-07-01,350934.5794392525,307810.10719755,324093.5832535229
377,2022-07-05,355473.96528704953,307810.10719755,324011.4926802571
378,2022-07-06,357476.6355140188,308728.94333843817,325776.4400054726
379,2022-07-07,357576.76902536734,308269.5252679941,324421.94554658636
380,2022-07-08,357176.2349799735,307810.10719755,325160.76070597884
381,2022-07-11,360547.3965287051,307350.6891271059,325612.258858941
382,2022-07-12,360714.28571428586,308728.9433384382,326227.93815843476
383,2022-07-13,360347.1295060082,308728.9433384382,326227.93815843476
384,2022-07-14,362283.04405874526,308728.9433384382,327582.432617321
385,2022-07-15,360680.90787716984,310566.6156202146,327869.74962375144
386,2022-07-18,358377.83711615513,310566.6156202146,327213.02503762476
387,2022-07-19,356074.7663551405,309647.7794793264,328485.4289232452
388,2022-07-20,357409.8798397867,309647.7794793264,327787.6590504856
389,2022-07-21,356842.45660881203,310107.1975497705,328362.2930633465
390,2022-07-22,356241.65554072126,311026.0336906587,327459.2967574223
391,2022-07-25,355407.2096128174,310107.1975497705,327869.74962375144
392,2022-07-26,357777.03604806436,310107.1975497705,327213.02503762476
393,2022-07-27,355307.07610146893,310566.6156202146,327705.56847721984
394,2022-07-28,354973.2977303074,310566.6156202146,327746.61376385274
395,2022-07-29,353471.2950600804,310107.1975497705,326597.345738131
396,2022-08-01,351969.29238985345,309647.77947932645,325037.62484608014
397,2022-08-02,354606.14152202965,311026.03369065875,324093.58325352304
398,2022-08-03,355507.34312416584,310107.1975497706,322615.95293473796
399,2022-08-04,352770.36048064113,310566.61562021467,324750.3078396498
400,2022-08-05,355874.4993324436,310107.1975497706,324873.44369954854
401,2022-08-08,355273.6982643528,310566.61562021467,325940.6211520044
402,2022-08-09,355040.0534045397,310107.1975497706,326720.48159802984
403,2022-08-10,351134.8464619496,310107.1975497706,326638.39102476405
404,2022-08-11,350767.69025367184,308728.9433384382,324668.21726638393
405,2022-08-12,352570.0934579442,309647.77947932645,326761.5268846628
406,2022-08-15,355640.8544726305,309647.77947932645,326843.6174579286
407,2022-08-16,355473.9652870497,311026.03369065875,326515.2551648653
408,2022-08-17,355707.6101468628,311944.86983154697,324873.4436995486
409,2022-08-18,358744.99332443293,311485.4517611029,325735.39471883985
410,2022-08-19,361048.06408544764,311485.4517611028,327418.2514707895
411,2022-08-22,363985.31375166925,313323.12404287927,328033.9307702833
412,2022-08-23,362550.0667556746,314701.37825421157,327869.74962375156
413,2022-08-24,362750.3337783715,313782.5421133234,327746.6137638528
414,2022-08-25,362049.3991989322,315160.7963246557,327541.38733068825
415,2022-08-26,363150.8678237653,314701.37825421157,327869.74962375156
416,2022-08-29,363284.37917222996,315620.2143950998,328198.1119168149
417,2022-08-30,363050.7343124168,317457.88667687617,328239.15720344783
418,2022-08-31,362817.0894526038,317457.88667687617,327048.8438910933
419,2022-09-01,366121.49532710307,316539.05053598795,326515.2551648653
420,2022-09-02,365587.4499332446,317457.88667687617,327213.02503762493
